model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,fit_time_mean,test_mae,test_rmse,test_r2,best_params
random_forest,2.111925790895061,0.1509530040525943,2.9958808287732928,0.423172795638687,0.8530178568285125,0.03393459458233229,0.25882277488708494,1.568766666666666,2.1424002051178253,0.914633025382325,"{'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__n_estimators': 300}"
decision_tree,2.594614040814677,0.3029468636749709,3.577525058768798,0.4447465977925136,0.7905314464922284,0.04162311503518108,0.007547712326049805,2.036353352220999,2.7032578168531405,0.8640861787631694,"{'estimator__ccp_alpha': 0.01, 'estimator__max_depth': 5, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2}"
linear_regression,2.6685144001993644,0.1554899260050872,3.4600799731256777,0.19562390191731013,0.8049993824051211,0.020481812568676545,0.004342412948608399,2.288246813885049,2.8876751675610373,0.8449094399450835,{}
dummy,6.6966442595410856,0.41036443113227833,7.932548444513924,0.43876426743139113,-0.01931215576997376,0.01522330635787579,0.004301881790161133,5.955408805031446,7.347332711991268,-0.00403326341807686,{}
