feature,importance
num__displacement,0.27311360836602133
num__weight,0.21004451070845526
num__cylinders,0.18186034713035268
num__horsepower,0.14354219628817047
num__model_year,0.11858396777703033
num__acceleration,0.03987808819196539
cat__origin_1,0.021519949969324017
cat__origin_3,0.007088822841365593
cat__origin_2,0.0043685087273147485
