model,test_mae,test_rmse,test_r2,cv_rmse_mean
RandomForestRegressor,1.5788458333333335,2.1573822792011415,0.9134348866320341,3.0927586877781628
DecisionTreeRegressor,2.0935945138371608,2.7790593619758206,0.8563570435624086,3.679358044604709
LinearRegression,2.288246813885049,2.8876751675610373,0.8449094399450835,3.4600799731256777
DummyRegressor,5.955408805031446,7.347332711991268,-0.00403326341807686,
