feature,importance_mean,importance_std
model_year,1.9602255807875402,0.22243682746628396
weight,1.2690314111990388,0.15993301735710164
displacement,1.0962046775467706,0.17672307714306165
horsepower,0.6848034567195893,0.10175363005430406
cylinders,0.5497931550468446,0.11845538640599937
acceleration,0.1388900271398484,0.03865578004306657
origin,0.10533884254202135,0.05119336654283081
